datetime,Tryptophan (RFU)
8/2/2024 11:45:10,77.5
8/2/2024 11:50:10,78.5
8/2/2024 11:55:10,76.3
8/2/2024 12:00:10,78.7
8/2/2024 12:05:10,76.7
8/2/2024 12:10:10,76.2
8/2/2024 12:15:10,76.8
8/2/2024 12:20:10,77.2
8/2/2024 12:25:10,76
8/2/2024 12:30:10,76
8/2/2024 12:35:10,76.4
8/2/2024 12:40:10,77.3
8/2/2024 12:45:10,76.4
8/2/2024 12:50:10,76.7
8/2/2024 12:55:10,77.4
8/2/2024 13:00:10,76.2
8/2/2024 13:05:10,77.4
8/2/2024 13:10:10,76.7
8/2/2024 13:15:10,78.2
8/2/2024 13:20:10,77.2
8/2/2024 13:25:10,77.5
8/2/2024 13:30:10,76.6
8/2/2024 13:35:10,75.9
8/2/2024 13:40:10,77.1
8/2/2024 13:45:10,78.3
8/2/2024 13:50:10,76.3
8/2/2024 13:55:10,76.9
8/2/2024 14:00:10,76.3
8/2/2024 14:05:10,75.5
8/2/2024 14:10:10,75.8
8/2/2024 14:15:10,75.9
8/2/2024 14:20:10,76.1
8/2/2024 14:25:10,75.8
8/2/2024 14:30:10,72.8
8/2/2024 14:35:10,67.9
8/2/2024 14:40:10,65.5
8/2/2024 14:45:10,63.5
8/2/2024 14:50:10,55
8/2/2024 14:55:10,45
8/2/2024 15:00:10,27.7
8/2/2024 15:05:10,12.2
8/2/2024 15:10:10,12.2
8/2/2024 15:15:10,29.7
8/2/2024 15:20:10,62
8/2/2024 15:25:10,73
8/2/2024 15:30:10,75.6
8/2/2024 15:35:10,75.7
8/2/2024 15:40:10,74.9
8/2/2024 15:45:10,76.4
8/2/2024 15:50:10,74.3
8/2/2024 16:00:20,75
8/2/2024 16:10:20,76.4
8/2/2024 16:20:20,75.5
8/2/2024 16:30:20,74.8
8/2/2024 16:40:20,74.4
8/2/2024 16:50:20,75.2
8/2/2024 17:00:20,74.2
8/2/2024 17:10:20,73.8
8/2/2024 17:20:20,75.3
8/2/2024 17:30:20,74.9
8/2/2024 17:40:20,75.4
8/2/2024 17:50:20,74.4
8/2/2024 18:00:20,74.3
8/2/2024 18:10:20,75.7
8/2/2024 18:20:20,75.8
8/2/2024 18:30:20,73.2
8/2/2024 18:40:20,74.3
8/2/2024 18:50:20,74.8
8/2/2024 19:00:20,74.5
8/2/2024 19:10:20,73.5
8/2/2024 19:20:20,75.6
8/2/2024 19:30:20,74.4
8/2/2024 19:40:20,74.8
8/2/2024 19:50:20,75.7
8/2/2024 20:00:20,74.5
8/2/2024 20:10:20,74.8
8/2/2024 20:20:20,75.1
8/2/2024 20:30:20,74.5
8/2/2024 20:40:20,74.9
8/2/2024 20:50:20,74.9
8/2/2024 21:00:20,75.1
8/2/2024 21:10:20,76.6
8/2/2024 21:20:20,74.5
8/2/2024 21:30:20,74.9
8/2/2024 21:40:20,74.5
8/2/2024 21:50:20,75.1
8/2/2024 22:00:20,75.5
8/2/2024 22:10:20,74.1
8/2/2024 22:20:20,75.6
8/2/2024 22:30:20,74.9
8/2/2024 22:40:20,75.3
8/2/2024 22:50:20,77.3
8/2/2024 23:00:20,76.1
8/2/2024 23:10:20,76.6
8/2/2024 23:20:20,77.2
8/2/2024 23:30:20,76.6
8/2/2024 23:40:20,75.6
8/2/2024 23:50:20,76.2
8/3/2024 0:00:20,76.8
8/3/2024 0:10:20,75.6
8/3/2024 0:20:20,77.2
8/3/2024 0:30:20,77.9
8/3/2024 0:40:20,76.3
8/3/2024 0:50:20,76.2
8/3/2024 1:00:20,75
